Object_Number, X1, Y1, X2, Y2, Face_Area, Eye_Area_Ratio
1, 500, 206, 638, 344, 18769.00, 0.13
2, 500, 207, 638, 345, 18769.00, 0.12
3, 406, 184, 614, 392, 42849.00, 0.05
4, 506, 210, 639, 343, 17424.00, 0.13
5, 412, 186, 616, 390, 41209.00, 0.10
6, 502, 208, 639, 345, 18496.00, 0.11
7, 503, 210, 637, 344, 17689.00, 0.12
8, 501, 208, 634, 341, 17424.00, 0.15
9, 404, 187, 615, 398, 44100.00, 0.04
10, 410, 188, 616, 394, 42025.00, 0.05
11, 505, 212, 634, 341, 16384.00, 0.14
12, 412, 190, 613, 391, 40000.00, 0.04
13, 500, 214, 635, 349, 17956.00, 0.13
14, 507, 218, 634, 345, 15876.00, 0.18
15, 409, 187, 618, 396, 43264.00, 0.06
16, 420, 187, 623, 390, 40804.00, 0.06
17, 506, 216, 635, 345, 16384.00, 0.16
18, 410, 190, 616, 396, 42025.00, 0.04
19, 504, 216, 635, 347, 16900.00, 0.14
20, 503, 216, 635, 348, 17161.00, 0.16
21, 411, 188, 619, 396, 42849.00, 0.06
22, 501, 215, 636, 350, 17956.00, 0.17
23, 415, 189, 622, 396, 42436.00, 0.06
24, 496, 212, 637, 353, 19600.00, 0.13
25, 412, 190, 615, 393, 40804.00, 0.06
26, 490, 209, 637, 356, 21316.00, 0.12
27, 496, 212, 636, 352, 19321.00, 0.12
28, 500, 214, 634, 348, 17689.00, 0.15
29, 495, 211, 633, 349, 18769.00, 0.14
30, 495, 208, 636, 349, 19600.00, 0.15
31, 497, 209, 634, 346, 18496.00, 0.14
32, 494, 207, 635, 348, 19600.00, 0.14
33, 491, 206, 634, 349, 20164.00, 0.15
34, 490, 204, 635, 349, 20736.00, 0.14
35, 488, 203, 633, 348, 20736.00, 0.14
36, 485, 202, 634, 351, 21904.00, 0.11
37, 484, 203, 633, 352, 21904.00, 0.14
38, 483, 202, 633, 352, 22201.00, 0.09
39, 485, 202, 633, 350, 21609.00, 0.11
40, 483, 201, 632, 350, 21904.00, 0.06
41, 483, 200, 631, 348, 21609.00, 0.14
42, 483, 200, 631, 348, 21609.00, 0.14
43, 481, 199, 630, 348, 21904.00, 0.11
44, 476, 197, 629, 350, 23104.00, 0.13
45, 476, 196, 630, 350, 23409.00, 0.12
46, 475, 195, 630, 350, 23716.00, 0.12
47, 474, 194, 631, 351, 24336.00, 0.14
48, 472, 194, 630, 352, 24649.00, 0.12
49, 473, 194, 630, 351, 24336.00, 0.13
50, 472, 194, 631, 353, 24964.00, 0.12
51, 473, 194, 631, 352, 24649.00, 0.11
52, 471, 193, 632, 354, 25600.00, 0.11
53, 471, 193, 632, 354, 25600.00, 0.13
54, 470, 193, 631, 354, 25600.00, 0.13
55, 471, 194, 631, 354, 25281.00, 0.13
56, 472, 193, 631, 352, 24964.00, 0.12
57, 471, 193, 630, 352, 24964.00, 0.12
58, 471, 192, 631, 352, 25281.00, 0.13
59, 471, 193, 630, 352, 24964.00, 0.13
60, 471, 192, 631, 352, 25281.00, 0.12
61, 470, 192, 631, 353, 25600.00, 0.13
62, 470, 192, 630, 352, 25281.00, 0.13
63, 472, 193, 631, 352, 24964.00, 0.12
64, 470, 192, 630, 352, 25281.00, 0.13
65, 471, 193, 631, 353, 25281.00, 0.12
66, 472, 192, 630, 350, 24649.00, 0.14
67, 472, 193, 630, 351, 24649.00, 0.12
68, 471, 192, 631, 352, 25281.00, 0.13
69, 472, 192, 631, 351, 24964.00, 0.12
70, 474, 193, 630, 349, 24025.00, 0.13
